198909,124.594,198909,16.154,198909,0.667,198909,0.165
198910,119.943,198910,15.327,198910,0.516,198910,0.121
198911,120.824,198911,11.41,198911,0.649,198911,0.101
198912,143.264,198912,10.349,198912,2.528,198912,0.152
198913,1518.844,198913,168.326,198913,11.145,198913,1.591
199001,132.923,199001,9.182,199001,0.589,199001,0.153
199002,116.26,199002,8.295,199002,0.464,199002,0.236
199003,121.806,199003,11.59,199003,0.436,199003,0.236
199004,115.909,199004,12.53,199004,0.493,199004,0.231
199005,118.556,199005,15.351,199005,0.546,199005,0.29
199006,130.719,199006,18.698,199006,0.74,199006,0.251
199007,143.146,199007,20.507,199007,0.769,199007,0.281
199008,146.257,199008,21.59,199008,0.771,199008,0.273
199009,134.042,199009,18.936,199009,0.628,199009,0.297
199010,128.8,199010,16.165,199010,0.565,199010,0.326
199011,122.119,199011,11.632,199011,0.433,199011,0.231
199012,137.027,199012,11.017,199012,0.625,199012,0.296
199013,1547.564,199013,175.54,199013,7.059,199013,3.101
199101,143.148,199101,11.135,199101,0.529,199101,0.306
199102,117.505,199102,9.406,199102,0.358,199102,0.236
199103,118.823,199103,12.394,199103,0.369,199103,0.302
199104,111.147,199104,13.853,199104,0.454,199104,0.3
199105,122.745,199105,16.015,199105,0.809,199105,0.273
199106,131.945,199106,16.708,199106,0.5,199106,0.208
199107,144.042,199107,21.173,199107,0.543,199107,0.255
199108,144.107,199108,21.028,199108,0.615,199108,0.233
199109,129.099,199109,16.879,199109,0.519,199109,0.214
199110,124.058,199110,16.907,199110,0.402,199110,0.207
199111,127.928,199111,12.719,199111,0.511,199111,0.217
199112,133.633,199112,10.925,199112,0.51,199112,0.243
199113,1548.18,199113,179.191,199113,6.118,199113,2.995
199201,137.39,199201,11.401,199201,0.513,199201,0.327
199202,121.125,199202,11.481,199202,0.375,199202,0.351
199203,126.201,199203,13.993,199203,0.393,199203,0.383
199204,118.33,199204,15.434,199204,0.377,199204,0.302
199205,121.946,199205,15.916,199205,0.392,199205,0.23
199206,129.054,199206,17.908,199206,0.501,199206,0.302
199207,148.563,199207,22.47,199207,0.665,199207,0.333
199208,142.166,199208,20.368,199208,0.471,199208,0.531
199209,132.766,199209,18.422,199209,0.395,199209,0.449
199210,126.405,199210,14.309,199210,0.369,199210,0.476
199211,126.014,199211,12.745,199211,0.467,199211,0.426
199212,139.605,199212,11.833,199212,0.46,199212,0.485
199213,1569.566,199213,186.309,199213,5.379,199213,4.596
199301,139.269,199301,11.506,199301,0.487,199301,0.608
199302,128.056,199302,11.339,199302,0.449,199302,0.532
199303,134.599,199303,13.567,199303,0.614,199303,0.569
199304,119.596,199304,12.165,199304,0.393,199304,0.517
199305,120.469,199305,11.674,199305,0.417,199305,0.565
199306,136.697,199306,17.813,199306,0.496,199306,0.643
199307,157.967,199307,23.371,199307,0.873,199307,0.823
199308,156.392,199308,24.98,199308,0.752,199308,0.736
199309,133.435,199309,18.068,199309,0.495,199309,0.846
199310,130.321,199310,16.399,199310,0.431,199310,0.734
199311,131.799,199311,14.571,199311,0.426,199311,0.666
199312,143.919,199312,12.21,199312,0.493,199312,0.791
199313,1632.52,199313,187.688,199313,6.327,199313,8.031
199401,153.119,199401,12.013,199401,1.992,199401,0.91
199402,131.25,199402,10.546,199402,0.75,199402,0.716
199403,132.54,199403,13.143,199403,0.545,199403,0.76
199404,120.392,199404,14.407,199404,0.559,199404,0.575
199405,126.496,199405,15.25,199405,0.625,199405,0.476
199406,146.639,199406,22.498,199406,1.005,199406,0.579
199407,153.375,199407,25.59,199407,0.822,199407,0.622
199408,151.757,199408,26.995,199408,0.548,199408,0.533
199409,133.235,199409,20.897,199409,0.467,199409,0.505
199410,129.229,199410,18.636,199410,0.435,199410,0.503
199411,124.074,199411,16.33,199411,0.463,199411,0.479
199412,136.675,199412,14.683,199412,0.563,199412,0.462
199413,1638.781,199413,211.022,199413,8.775,199413,7.119
199501,143.097,199501,14.188,199501,0.536,199501,0.686
199502,127.774,199502,12.021,199502,0.668,199502,0.665
199503,127.348,199503,17.507,199503,0.46,199503,0.56
199504,118.414,199504,16.36,199504,0.466,199504,0.387
199505,125.516,199505,18.398,199505,0.575,199505,0.64
199506,138.913,199506,21.198,199506,0.606,199506,0.737
199507,159.638,199507,29.035,199507,0.953,199507,0.615
199508,167.717,199508,33.423,199508,1.448,199508,0.863
199509,137.474,199509,22.566,199509,0.458,199509,0.709
199510,132.871,199510,17.101,199510,0.473,199510,0.798
199511,134.591,199511,14.126,199511,0.533,199511,0.898
199512,147.39,199512,12.313,199512,0.721,199512,0.669
199513,1660.744,199513,228.248,199513,7.898,199513,8.226
199601,153.915,199601,12.634,199601,0.931,199601,0.734
199602,138.446,199602,10.245,199602,1.19,199602,0.566
199603,138.362,199603,11.708,199603,0.754,199603,0.462
199604,124.885,199604,12.714,199604,0.474,199604,0.522
199605,135.014,199605,19.835,199605,0.641,199605,0.583
199606,147.23,199606,22.45,199606,0.513,199606,0.578
199607,160.939,199607,26.808,199607,0.626,199607,0.852
199608,162.998,199608,27.526,199608,0.532,199608,1.022
199609,144.095,199609,21.35,199609,0.565,199609,0.848
199610,143.399,199610,16.968,199610,0.509,199610,0.698
199611,147.318,199611,12.734,199611,0.527,199611,0.609
199612,155.809,199612,9.932,199612,0.735,199612,0.652
199613,1752.41,199613,204.929,199613,7.995,199613,8.126
199701,162.245,199701,10.256,199701,0.911,199701,0.414
199702,135.873,199702,10.564,199702,0.459,199702,0.41
199703,138.495,199703,13.984,199703,0.454,199703,0.256
199704,130.325,199704,14.261,199704,0.565,199704,0.761
199705,136.525,199705,17.055,199705,0.516,199705,0.998
199706,147.624,199706,21.941,199706,0.745,199706,1.069
199707,169.108,199707,31.656,199707,1.389,199707,1.065
199708,164.925,199708,28.824,199708,0.732,199708,1.185
199709,152.353,199709,24.544,199709,0.562,199709,1.195
199710,152.153,199710,18.012,199710,0.596,199710,1.038
199711,146.425,199711,13.245,199711,0.562,199711,1.002
199712,160.993,199712,14.528,199712,0.592,199712,0.978
199713,1797.045,199713,218.886,199713,8.084,199713,10.371
199801,159.602,199801,13.039,199801,0.478,199801,1.112
199802,138.682,199802,10.192,199802,0.374,199802,0.873
199803,144.143,199803,14.795,199803,0.547,199803,0.893
199804,133.418,199804,14.479,199804,0.447,199804,1.007
199805,146.249,199805,22.102,199805,0.92,199805,1.043
199806,158.591,199806,28.844,199806,1.432,199806,1.19
199807,174.995,199807,34.204,199807,1.551,199807,1.254
199808,174.745,199808,34.788,199808,1.435,199808,1.175
199809,156.709,199809,29.001,199809,1.201,199809,1.109
199810,147.334,199810,18.717,199810,0.452,199810,1.027
199811,139.397,199811,13.503,199811,0.459,199811,1.008
199812,154.318,199812,14.352,199812,0.621,199812,0.927
199813,1828.184,199813,248.035,199813,9.918,199813,12.617
199901,161.387,199901,14.844,199901,1.117,199901,0.931
199902,138.081,199902,12.626,199902,0.421,199902,0.769
199903,145.169,199903,17.173,199903,0.515,199903,0.981
199904,137.504,199904,21.273,199904,0.788,199904,0.881
199905,144.891,199905,22.68,199905,0.6,199905,0.989
199906,157.377,199906,26.964,199906,0.985,199906,0.993
199907,179.42,199907,36.347,199907,2.281,199907,1.205
199908,173.707,199908,36.139,199908,1.408,199908,1.331
199909,154.874,199909,23.362,199909,0.594,199909,0.824
199910,147.523,199910,19.917,199910,0.484,199910,0.829
199911,142.095,199911,14.218,199911,0.549,199911,0.772
199912,154.387,199912,14.514,199912,0.499,199912,0.983
199913,1836.415,199913,260.092,199913,10.24,199913,11.487
200001,172.903,200001,17.571,200001,0.992,200001,1.439
200002,155.75,200002,15.405,200002,0.599,200002,1.174
200003,152.347,200003,19.158,200003,0.512,200003,0.777
200004,137.295,200004,19.809,200004,0.462,200004,0.795
200005,151.232,200005,28.502,200005,1.078,200005,0.724
200006,165.771,200006,28.36,200006,0.931,200006,0.88
200007,172.816,200007,34.422,200007,1.098,200007,0.519
200008,179.476,200008,37.859,200008,1.233,200008,1.011
200009,158.627,200009,26.159,200009,0.833,200009,0.775
200010,156.631,200010,19.687,200010,0.574,200010,0.61
200011,155.015,200011,16.636,200011,0.725,200011,0.659
200012,169.514,200012,17.25,200012,3.74,200012,0.709
200013,1927.376,200013,280.849,200013,12.777,200013,10.073
200101,171.379,200101,18.459,200101,3.387,200101,0.912
200102,146.187,200102,16.972,200102,1.128,200102,0.827
200103,151.068,200103,19.676,200103,1.241,200103,0.813
200104,136.46,200104,20.849,200104,1.099,200104,0.655
200105,148.784,200105,23.515,200105,0.914,200105,0.748
200106,159.457,200106,26.712,200106,0.776,200106,0.843
200107,176.898,200107,34.358,200107,0.741,200107,0.993
200108,180.673,200108,37.225,200108,1.106,200108,1.035
200109,153.202,200109,27.639,200109,0.517,200109,0.95
200110,146.64,200110,25.251,200110,0.568,200110,0.915
200111,142.367,200111,18.988,200111,0.447,200111,0.806
200112,156.713,200112,19.894,200112,0.537,200112,1.044
200113,1869.826,200113,289.589,200113,12.461,200113,10.541
200201,159.356,200201,20.588,200201,0.783,200201,1.356
200202,139.482,200202,18.58,200202,0.484,200202,1.412
200203,146.594,200203,21.932,200203,0.778,200203,1.496
200204,138.353,200204,21.825,200204,0.741,200204,1.426
200205,147.956,200205,22.122,200205,0.859,200205,1.61
200206,161.561,200206,29.722,200206,0.723,200206,1.734
200207,179.351,200207,39.565,200207,1.112,200207,1.536
200208,177.391,200208,38.694,200208,1.034,200208,1.727
200209,162.681,200209,30.667,200209,0.698,200209,1.572
200210,156.051,200210,23.843,200210,0.818,200210,1.323
200211,153.318,200211,18.961,200211,0.572,200211,1.268
200212,167.785,200212,19.432,200212,0.711,200212,1.427
200213,1889.879,200213,305.968,200213,9.312,200213,17.888
200301,175.518,200301,20.748,200301,1.911,200301,1.179
200302,152.63,200302,18.157,200302,1.632,200302,1.087
200303,150.919,200303,19.593,200303,1.218,200303,0.909
200304,138.322,200304,19.097,200304,0.655,200304,1.352
200305,147.491,200305,21.338,200305,1.053,200305,1.28
200306,160.056,200306,23.597,200306,1.204,200306,1.535
200307,178.656,200307,34.14,200307,1.005,200307,1.768
200308,181.673,200308,37.02,200308,0.867,200308,1.755
200309,161.942,200309,25.382,200309,0.511,200309,1.704
200310,155.337,200310,22.15,200310,0.52,200310,1.741
200311,156.001,200311,18.858,200311,0.473,200311,1.754
200312,172.427,200312,18.205,200312,0.712,200312,1.773
200313,1930.971,200313,278.348,200313,11.762,200313,17.836
200401,175.35,200401,19.642,200401,1.77,200401,1.999
200402,157.548,200402,20.297,200402,0.601,200402,1.718
200403,149.42,200403,20.383,200403,0.538,200403,1.733
200404,138.155,200404,21.145,200404,0.464,200404,1.723
200405,153.824,200405,26.324,200405,0.698,200405,1.82
200406,164.022,200406,27.659,200406,0.656,200406,1.714
200407,178.541,200407,34.073,200407,0.596,200407,1.806
200408,175.913,200408,33.264,200408,0.562,200408,1.987
200409,163.182,200409,28.737,200409,0.658,200409,1.691
200410,155.596,200410,23.87,200410,0.442,200410,1.846
200411,156.598,200411,20.425,200411,0.389,200411,1.649
200412,174.92,200412,21.02,200412,0.758,200412,1.844
200413,1943.069,200413,296.849,200413,8.132,200413,21.527
200501,175.514,200501,20.948,200501,1.242,200501,2.006
200502,153.555,200502,17.984,200502,0.369,200502,1.855
200503,159.857,200503,21.007,200503,0.431,200503,1.947
200504,140.548,200504,21.223,200504,0.438,200504,1.779
200505,151.645,200505,23.001,200505,0.47,200505,2.009
200506,171.133,200506,32.282,200506,0.602,200506,2.13
200507,184.087,200507,42.233,200507,0.92,200507,2.092
200508,186.022,200508,43.005,200508,1.04,200508,2.21
200509,169.222,200509,31.368,200509,0.796,200509,1.92
200510,160.682,200510,23.6,200510,0.599,200510,1.921
200511,155.899,200511,20.288,200511,0.436,200511,1.735
200512,175.664,200512,22.096,200512,1.032,200512,2
200513,1983.829,200513,319.112,200513,8.373,200513,23.602
200601,166.165,200601,17.316,200601,0.444,200601,2
200602,154.226,200602,18.825,200602,0.396,200602,1.774
200603,156.997,200603,22.129,200603,0.315,200603,1.681
200604,138.082,200604,23.163,200604,0.418,200604,1.709
200605,153.221,200605,27.433,200605,0.42,200605,1.591
200606,166.169,200606,34.204,200606,0.48,200606,1.78
200607,184.807,200607,46.941,200607,0.608,200607,1.966
200608,186.844,200608,45.669,200608,0.691,200608,1.852
200609,160.475,200609,29.784,200609,0.341,200609,1.67
200610,159.328,200610,28.661,200610,0.404,200610,1.693
200611,156.604,200611,21.556,200611,0.403,200611,1.485
200612,170.779,200612,22.528,200612,0.45,200612,1.534
200613,1953.699,200613,338.244,200613,5.368,200613,20.734
200701,174.337,200701,24.354,200701,0.596,200701,1.633
200702,159.772,200702,23.131,200702,1.057,200702,1.291
200703,155.545,200703,22.6,200703,0.523,200703,1.307
200704,144.038,200704,24.617,200704,0.407,200704,1.276
200705,154.284,200705,27.554,200705,0.423,200705,1.385
200706,170.559,200706,34.118,200706,0.512,200706,1.598
200707,183.582,200707,41.3,200707,0.498,200707,1.42
200708,188.407,200708,52.659,200708,0.713,200708,1.475
200709,167.18,200709,37.094,200709,0.404,200709,1.374
200710,159.36,200710,32.8,200710,0.468,200710,1.229
200711,156.666,200711,24.335,200711,0.393,200711,1.162
200712,173.557,200712,27.056,200712,0.493,200712,1.45
200713,1987.288,200713,371.674,200713,6.486,200713,16.6
200801,177.865,200801,28.901,200801,0.675,200801,1.418
200802,163.114,200802,23.864,200802,0.5,200802,1.311
200803,156.693,200803,25.045,200803,0.391,200803,1.093
200804,144.524,200804,25.512,200804,0.391,200804,1.193
200805,152.626,200805,25.814,200805,0.392,200805,1.125
200806,168.239,200806,36.133,200806,0.566,200806,1.378
200807,184.592,200807,42.466,200807,0.417,200807,1.238
200808,179.993,200808,41.429,200808,0.369,200808,1.299
200809,160.76,200809,32.722,200809,0.366,200809,1.228
200810,150.605,200810,29.609,200810,0.323,200810,1.296
200811,152.302,200811,24.86,200811,0.353,200811,1.182
200812,168.073,200812,25.897,200812,0.561,200812,1.188
200813,1959.387,200813,362.32,200813,5.305,200813,14.949
200901,169.01,200901,26.449,200901,0.788,200901,1.196
200902,138.457,200902,24.603,200902,0.468,200902,1.091
200903,134.157,200903,27.097,200903,0.519,200903,1.356
200904,125.161,200904,24.465,200904,0.328,200904,1.208
200905,131.317,200905,27.918,200905,0.417,200905,1.219
200906,147.22,200906,34.82,200906,0.396,200906,1.22
200907,157.083,200907,42.156,200907,0.367,200907,1.266
200908,161.543,200908,45.538,200908,0.393,200908,1.225
200909,137.175,200909,37.387,200909,0.3,200909,1.216
200910,138.952,200910,29.099,200910,0.344,200910,0.748
200911,136.236,200911,24.776,200911,0.337,200911,0.737
200912,164.564,200912,28.204,200912,0.433,200912,0.982
200913,1740.874,200913,372.585,200913,5.089,200913,13.463
201001,169.541,201001,29.537,201001,1.039,201001,1.207
201002,149.732,201002,25.952,201002,0.36,201002,1.136
201003,142.659,201003,24.705,201003,0.321,201003,1.246
201004,125.288,201004,25.479,201004,0.296,201004,1.078
201005,141.697,201005,30.234,201005,0.432,201005,1.167
